Num,Category,Title,Author,Year,Tom,Quantity,Publisher,Notes
280,Художка іноземною,The Firm,John Grisham,1995,1,,Pearson Education,
281,Художка іноземною,A thousand splendid suns,Khaled Hosseini,2007,1,,Riverhead books,
282,Художка іноземною,Affliction,Russel Banks,1990,1,,HarperPerennil,
283,Художка іноземною,The road,Cormac McCarthy,2007,1,,Picador,
284,Художка іноземною,Cities of the Plain,Cormac McCarthy,2010,1,,Picador,
285,Художка іноземною,Saving private Ryan,many authors,2000,1,,Penguin Readers,
286,Художка іноземною,Misery,Stephen King,2008,1,,Penguin Readers,
287,Художка іноземною,The diary of a young girl,Anne Frank,2015,1,,Penguin Readers,
288,Художка іноземною,Wisniewski,Janusz Leon,2014,1,,Swiat Ksiazki,
289,Художка іноземною,Novellen,Stefan Zweig,2006,1,,Folio,
290,Художка іноземною,Die schwarzen Schafe,Heinrich Boll,1989,1,,Meulenhoff Educatief,
291,Українськість,Схід українського сонця,Катерина Зарембо,2022,1,,Човен,
292,Укрліт,За Перекопом є земля,Анастасія Левко,2023,1,,Лабораторія,
293,Укрліт,Сад Гетсиманський,Іван Багряний,2023,1,,Віхола,
294,Освіта,Дитя людське,Януш Корчак,2012,1,,Дух і літера,
295,Освіта,Як обрати професію майбутнього,Тамара Сухенко,2016,1,,Фоліо,
296,Мистецтво,Living the war. Kyiv during the russian war against Ukraine,Volodymyr Kadygrob,2022,1,,From A to Z,
297,Мистецтво,Лабораторія сучасного мистецтва. Методика для занять із дітьми й підлітками,Валерія Бураджиєва,2021,1,,Коло,
298,Філософія,Сучасна соціальна філософія. Том 1. Курс лекцій,В. Андрущенко М. Михальченко,1993,1,,Генеза,
299,Освіта,Glossary of Business Terminology. Словник Ділових Термінів,Y. Havrylyshyn O. Karkoc,1993,1,,Smoloskyp,
300,Графічні романи,Скотт Пілігрим. Скотт Пілігрим береться за розум 4,Браян Лі Оʼмеллі,2023,4,,Mal'opus,
301,Поезія,Стус. Палімпсести. Вибране,Василь Стус,2023,1,,А-БА-БА-ГА-ЛА-МА-ГА,
302,Наука,Чому зебри не страждають на виразку,Роберт М. Сапольські,2023,1,,Фабула,
303,Наука,Медицина. Доказова і не дуже,Андрій Семʼянків (MED GOblin),2021,1,,Віхола,
304,Наука,Зоологічна екскурсія супермаркетом. Невідома історія відомих продуктів,Леонід Горобець,2022,1,,Віхола,
305,Наука,Пташина історія,Наталія Атамась,2021,1,,Віхола,
306,Наука,Коли я нарешті висплюся? Як засинати і прокидатися із задоволенням,"Ольга Маслова, Ніка Бєльська",2023,1,,Віхола,
307,Укрліт,Місто,Валер'ян Підмогильний,2022,1,,Віхола,
308,Наука,Плідна праця. Хроніки зародження життя у пробірці,Ольга Малюта,2022,1,,Віхола,
309,Наука,Без ГМО. Правда і страшилки про генну інженерію,Оксана Півень,2022,1,,Віхола,
310,Наука,Хімія повсякдення. Від шампуню і прального порошку до смаженої картоплі,Володимир Саркісян,2021,1,,Віхола,
311,Античність,Комедії,Арістофан,1980,1,,Дніпро,
312,Укрліт,Бути не здаватися,Ахметов Олександр,2022,1,,Азбука,
313,Укрліт,"Як ""звірі"" воювали: ТрО очима ""піджака""",Артур Кіт,2022,1,,,
314,Укрліт,Неймовірна ода до радості,Ірен Роздобудько,2022,1,,Нора друк,
315,Укрліт,Блюз під дощем,Юрій Шабловський,2007,1,,Пульсари,
316,Укрліт,Сіль для моря або білий кит,Анастасія Нікуліна,2019,1,,Vivat,
317,Укрліт,Танець недоумка,Ілларіон Павлюк,2022,1,,Видавництво Старого Лева,
